"filename", "language", "PHP", "Markdown", "JavaScript", "SCSS", "CSS", "XML", "JSON", "comment", "blank", "total"
"c:\wamp64\www\role_and_permissions\resources\views\backend\Country\index.blade.php", "PHP", 49, 0, 0, 0, 0, 0, 0, 0, 12, 61
"c:\wamp64\www\role_and_permissions\resources\views\backend\NewsList\index.blade.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\wamp64\www\role_and_permissions\resources\views\backend\State\create.blade.php", "PHP", 59, 0, 0, 0, 0, 0, 0, 0, 11, 70
"c:\wamp64\www\role_and_permissions\resources\views\backend\State\edit.blade.php", "PHP", 58, 0, 0, 0, 0, 0, 0, 0, 11, 69
"c:\wamp64\www\role_and_permissions\resources\views\backend\State\index.blade.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 0, 13, 60
"c:\wamp64\www\role_and_permissions\resources\views\backend\blogCategory\create.blade.php", "PHP", 67, 0, 0, 0, 0, 0, 0, 0, 7, 74
"c:\wamp64\www\role_and_permissions\resources\views\backend\blogCategory\edit.blade.php", "PHP", 56, 0, 0, 0, 0, 0, 0, 0, 9, 65
"c:\wamp64\www\role_and_permissions\resources\views\backend\blogCategory\index.blade.php", "PHP", 77, 0, 0, 0, 0, 0, 0, 9, 11, 97
"c:\wamp64\www\role_and_permissions\resources\views\backend\blogCategory\show.blade.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 0, 4, 37
"c:\wamp64\www\role_and_permissions\resources\views\backend\blog\create.blade.php", "PHP", 129, 0, 0, 0, 0, 0, 0, 0, 13, 142
"c:\wamp64\www\role_and_permissions\resources\views\backend\blog\edit.blade.php", "PHP", 123, 0, 0, 0, 0, 0, 0, 0, 18, 141
"c:\wamp64\www\role_and_permissions\resources\views\backend\blog\index.blade.php", "PHP", 164, 0, 0, 0, 0, 0, 0, 0, 19, 183
"c:\wamp64\www\role_and_permissions\resources\views\backend\blog\show.blade.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\wamp64\www\role_and_permissions\resources\views\backend\components\component-name.blade.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\wamp64\www\role_and_permissions\resources\views\backend\department\create.blade.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\wamp64\www\role_and_permissions\resources\views\backend\department\edit.blade.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\wamp64\www\role_and_permissions\resources\views\backend\department\index.blade.php", "PHP", 49, 0, 0, 0, 0, 0, 0, 0, 14, 63
"c:\wamp64\www\role_and_permissions\resources\views\backend\designation\create.blade.php", "PHP", 49, 0, 0, 0, 0, 0, 0, 0, 3, 52
"c:\wamp64\www\role_and_permissions\resources\views\backend\designation\edit.blade.php", "PHP", 49, 0, 0, 0, 0, 0, 0, 0, 3, 52
"c:\wamp64\www\role_and_permissions\resources\views\backend\designation\index.blade.php", "PHP", 50, 0, 0, 0, 0, 0, 0, 0, 8, 58
"c:\wamp64\www\role_and_permissions\resources\views\backend\domain\create.blade.php", "PHP", 127, 0, 0, 0, 0, 0, 0, 2, 23, 152
"c:\wamp64\www\role_and_permissions\resources\views\backend\domain\edit.blade.php", "PHP", 75, 0, 0, 0, 0, 0, 0, 1, 14, 90
"c:\wamp64\www\role_and_permissions\resources\views\backend\domain\index.blade.php", "PHP", 61, 0, 0, 0, 0, 0, 0, 0, 14, 75
